City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
205,Buchanan,LR,2023-02-20 21:48:45,5.8808,-10.0467,79.03,90,4,6.42
206,Kananga,CD,2023-02-20 21:48:46,-5.8958,22.4178,69.13,94,100,2.37
207,Georgetown,MY,2023-02-20 21:46:14,5.4112,100.3354,76.93,94,20,0.0
208,La Sarre,CA,2023-02-20 21:46:08,48.8002,-79.1996,-1.41,89,100,2.75
209,Artyom,AZ,2023-02-20 21:48:47,40.4723,50.333,51.94,79,85,25.41
210,Great Yarmouth,GB,2023-02-20 21:48:47,52.6083,1.7305,50.25,95,10,12.8
211,Black River,JM,2023-02-20 21:48:47,18.0264,-77.8487,80.1,68,49,5.7
212,Quimper,FR,2023-02-20 21:48:48,48.0,-4.1,45.18,93,0,5.75
213,Kuusamo,FI,2023-02-20 21:48:48,65.9667,29.1833,3.24,85,100,5.75
214,Macusani,PE,2023-02-20 21:48:49,-14.0833,-70.4333,42.76,78,96,8.48
215,Marquette,US,2023-02-20 21:48:49,46.5333,-87.6335,25.34,76,100,8.34
216,Ouango,CF,2023-02-20 21:48:49,4.3133,22.5552,78.58,33,98,4.61
217,Laguna,US,2023-02-20 21:48:50,38.421,-121.4238,69.89,38,0,3.0
218,Mihijam,IN,2023-02-20 21:48:50,23.8526,86.8788,66.42,32,0,2.73
219,Caiaponia,BR,2023-02-20 21:48:50,-16.9567,-51.8103,69.62,92,94,3.49
220,Ibra,OM,2023-02-20 21:48:51,22.6906,58.5334,66.7,66,100,3.6
221,Miraflores,MX,2023-02-20 21:48:51,19.2167,-98.8083,77.65,12,57,3.2
222,Maraa,BR,2023-02-20 21:48:52,-1.8333,-65.3667,72.27,99,100,2.77
223,Salalah,OM,2023-02-20 21:48:52,17.0151,54.0924,78.89,18,0,6.91
224,Honningsvag,NO,2023-02-20 21:48:52,70.9821,25.9704,22.75,74,100,9.22
225,Manicore,BR,2023-02-20 21:48:53,-5.8092,-61.3003,71.19,100,100,1.59
226,Saint-Francois,FR,2023-02-20 21:48:53,46.4154,3.9054,48.96,93,0,3.44
227,Abonnema,NG,2023-02-20 21:48:53,4.7084,6.7931,84.49,74,4,7.76
228,Chama,CH,2023-02-20 21:49:54,47.1821,8.4636,48.33,79,20,1.14
229,Sao Miguel Do Araguaia,BR,2023-02-20 21:49:54,-13.275,-50.1628,73.72,91,90,0.67
230,Marzuq,YE,2023-02-20 21:49:55,14.4,46.4667,59.97,28,20,2.62
231,Schwarzenbek,DE,2023-02-20 21:49:55,53.5,10.4833,47.98,99,100,3.0
232,Hun,LY,2023-02-20 21:49:56,29.1268,15.9477,54.1,39,0,4.74
233,Salamanca,ES,2023-02-20 21:49:56,40.8333,-6.0,50.81,74,100,2.98
234,Kupino,RU,2023-02-20 21:49:56,54.3663,77.2981,22.86,95,100,11.81
235,Domoni,KM,2023-02-20 21:49:57,-12.2569,44.5319,79.3,83,100,3.87
236,Asyut,EG,2023-02-20 21:49:57,27.181,31.1837,55.58,52,0,15.64
237,Olafsvik,IS,2023-02-20 21:49:58,64.8945,-23.7142,35.15,72,99,15.3
238,Ambanja,MG,2023-02-20 21:49:58,-13.6833,48.45,75.07,91,100,3.2
239,Nuuk,GL,2023-02-20 21:47:05,64.1835,-51.7216,12.81,48,75,9.22
240,Cradock,ZA,2023-02-20 21:49:59,-32.1642,25.6192,61.66,62,41,13.29
241,Vadinsk,RU,2023-02-20 21:49:59,53.6916,43.0574,10.08,100,92,3.51
242,Yar-Sale,RU,2023-02-20 21:50:00,66.8333,70.8333,-10.79,97,60,6.62
243,Bonthe,SL,2023-02-20 21:50:00,7.5264,-12.505,76.55,87,0,6.13
244,Kytmanovo,RU,2023-02-20 21:50:00,53.4593,85.4479,15.78,95,100,4.68
245,Turayf,SA,2023-02-20 21:50:01,31.6725,38.6637,50.25,37,0,9.22
246,Kasongo-Lunda,CD,2023-02-20 21:50:01,-6.4667,16.8167,67.75,92,76,2.46
247,Santa Cruz De Tenerife,ES,2023-02-20 21:50:02,28.4682,-16.2546,65.62,89,75,14.97
248,Longyearbyen,SJ,2023-02-20 21:50:02,78.2186,15.6401,6.64,72,75,11.5
249,Sabzevar,IR,2023-02-20 21:50:03,36.2126,57.6819,43.5,49,0,1.72
250,Grindavik,IS,2023-02-20 21:50:03,63.8424,-22.4338,32.47,86,75,8.05
251,Ust-Tsilma,RU,2023-02-20 21:50:04,65.441,52.1498,-18.54,100,100,1.57
252,Zomba,MW,2023-02-20 21:50:04,-15.386,35.3188,68.05,91,26,1.19
253,Saint Anthony,US,2023-02-20 21:50:05,45.0205,-93.218,36.54,82,100,14.97
254,Adre,TD,2023-02-20 21:50:06,13.4667,22.2,70.97,16,9,16.46
255,Port-Cartier,CA,2023-02-20 21:50:06,50.0334,-66.8654,32.22,99,100,6.53
256,Mantua,IT,2023-02-20 21:50:07,45.1667,10.7833,46.09,82,77,1.23
257,Maxixe,MZ,2023-02-20 21:50:08,-23.8597,35.3472,80.91,81,99,9.98
258,Angoche,MZ,2023-02-20 21:50:08,-16.2325,39.9086,78.78,91,3,8.46
259,Obo,CF,2023-02-20 21:50:09,5.3998,26.4869,75.18,28,93,5.41
260,Kidal,ML,2023-02-20 21:50:09,18.4411,1.4078,71.47,12,30,10.76
